dataset,seed,run_id,method,At,Ag,Fr,Fs,G,Time
cifar10,42,0,Retrain,0.0,0.9762444444444445,0.9955,0.021499999999999964,2.974086284637451,179.13079953193665
cifar10,42,0,LRA-NPP,0.0408,0.9720666666666666,0.9855,0.026499999999999968,0.6749897003173828,7.354544162750244
cifar10,42,0,Noise-GN,0.709,0.8532,0.2895,0.022499999999999964,0.6737179756164551,6.890668153762817
cifar10,42,0,Noise-LN,1.0,0.6888444444444445,0.0,0.012499999999999956,0.6734738349914551,7.4403040409088135
cifar10,142,1,Retrain,0.0,0.9769555555555556,1.0,0.01899999999999996,3.152164936065674,179.39266800880432
cifar10,142,1,LRA-NPP,0.0112,0.9744888888888888,0.9215,0.03700000000000003,0.6703815460205078,6.7073447704315186
cifar10,142,1,Noise-GN,1.0,0.7355111111111111,0.0,0.006000000000000005,0.6728634834289551,7.052105665206909
cifar10,142,1,Noise-LN,0.9036,0.8376222222222223,0.131,0.019000000000000017,0.6685299873352051,7.760392904281616
cifar10,242,2,Retrain,0.0,0.9754666666666667,0.999,0.013499999999999956,3.153446674346924,181.4118127822876
cifar10,242,2,LRA-NPP,0.0132,0.9790888888888889,1.0,0.025000000000000022,0.6737079620361328,6.915226221084595
cifar10,242,2,Noise-GN,0.9998,0.7892222222222223,0.0020000000000000018,0.019499999999999962,0.6724972724914551,7.02993631362915
cifar10,242,2,Noise-LN,0.3676,0.6162666666666666,0.829,0.009499999999999953,0.6727719306945801,7.682907819747925
cifar10,342,3,Retrain,0.0,0.9785555555555555,1.0,0.020499999999999963,3.152073383331299,217.05863881111145
cifar10,342,3,LRA-NPP,0.114,0.9760888888888889,0.9445,0.037000000000000144,0.6716327667236328,9.618062496185303
cifar10,342,3,Noise-GN,0.9994,0.7839111111111111,0.0044999999999999485,0.02100000000000002,0.6712460517883301,9.7802152633667
cifar10,342,3,Noise-LN,0.0058,0.6817555555555556,0.9995,0.008000000000000007,0.6720700263977051,10.1203453540802
cifar10,442,4,Retrain,0.0,0.9805333333333334,1.0,0.018000000000000016,3.156467914581299,241.54011368751526
cifar10,442,4,LRA-NPP,0.0838,0.9792666666666666,1.0,0.044499999999999984,0.6746845245361328,6.669197082519531
cifar10,442,4,Noise-GN,0.999,0.7938444444444445,0.0024999999999999467,0.02100000000000013,0.6703000068664551,6.929718017578125
cifar10,442,4,Noise-LN,0.9936,0.5166666666666667,0.031000000000000028,0.014000000000000012,0.6707882881164551,7.687939405441284
