method,At_mean,At_std,Ag_mean,Ag_std,Fr_mean,Fr_std,Fs_mean,Fs_std,G_mean,G_std,Time_mean,Time_std
LRA-NPP,0.0526,0.04513579510765264,0.9761999999999998,0.003073060966480122,0.9702999999999999,0.035504577169711525,0.03400000000000003,0.008147085368400175,0.6730792999267579,0.0019994953234027148,7.452874946594238,1.2406387929417235
Noise-GN,0.94144,0.1299384777500491,0.7911377777777777,0.041860678387500204,0.059699999999999975,0.1284720786785985,0.018000000000000016,0.006791538853603069,0.6721249580383301,0.0013532059880923355,7.53652868270874,1.256063888371768
Noise-LN,0.65412,0.44708289164314935,0.6682311111111112,0.11723187806466252,0.3981,0.47747910949066663,0.01259999999999999,0.004292435206266965,0.6715268135070801,0.0019469640836954135,8.138377904891968,1.1145315821179085
Retrain,0.0,0.0,0.9775511111111111,0.002019253009419412,0.9989000000000001,0.0019493588689617704,0.01849999999999997,0.0031024184114977144,3.1176478385925295,0.08027300739300905,199.70680656433106,28.380692183764445
