method,At_mean,At_std,Ag_mean,Ag_std,Fr_mean,Fr_std,Fs_mean,Fs_std,G_mean,G_std,Time_mean,Time_std
LRA-NPP,0.0058823529411764705,0.013153341044116409,0.8308268510515701,0.00040127883253193204,0.0823529411764706,0.013153341044116413,0.43714285714285717,0.05402191543196871,2.7336880683898928,0.0009531326901666577,1.5262524604797363,0.35783998823442187
Noise-GN,0.6176470588235293,0.38796782230214466,0.00040910400460962256,0.0005456461241627591,0.38235294117647056,0.38796782230214466,0.3142857142857142,0.15386185163241436,2.2171226501464845,0.0010426572700812733,1.5507037162780761,0.1825205825553341
Noise-LN,0.5,0.3359899899645842,0.0006165370210314032,0.0003948145782339591,0.5,0.3359899899645842,0.14285714285714285,0.11428571428571424,2.2183393478393554,0.000475769803414829,1.6416086196899413,0.20279929760365026
Retrain,0.0,0.0,0.8367790262172285,0.009233607546450341,0.3411764705882353,0.2619133748340374,0.4800000000000001,0.023904572186687872,4.729422664642334,0.23072412206796616,833.9690678119659,3.9931745586621266
