method,At_mean,At_std,Ag_mean,Ag_std,Fr_mean,Fr_std,Fs_mean,Fs_std,G_mean,G_std,Time_mean,Time_std
LRA-NPP,0.0,0.0,0.9685898989898989,0.001002639105053327,1.0,0.0,0.05399999999999999,0.023822258499143184,0.6802753448486328,0.002011488095736143,8.862745428085328,1.6874267637855231
Noise-GN,0.0,0.0,0.09003636363636362,0.00980328295512764,1.0,0.0,0.06499999999999997,0.03588175023601829,0.6778622627258301,0.0018712278011460322,9.8463951587677,1.338237482613058
Noise-LN,0.0132,0.029516097302997223,0.05034747474747474,0.006984910931161072,0.9800000000000001,0.04472135954999579,0.09599999999999999,0.051283525619832335,0.6785336494445801,0.0014866790958634798,17.32536950111389,3.678984688322862
Retrain,0.0,0.0,0.9192282828282827,0.001709274771016166,0.9843999999999999,0.034882660448996704,0.040999999999999995,0.03927467377331094,5.62022762298584,0.08098542352136513,492.5134181022644,64.62789353810314
