lhs,rhs,metric,n_runs,mean_diff,std_diff,ci95_low,ci95_high,p_paired_t,p_wilcoxon,cliffs_delta,cohens_dz
LRA-NPP,Retrain,At,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
LRA-NPP,Retrain,Ag,5,0.04936161616161614,0.001595294580793831,0.048460606060606,0.05080060606060601,2.6146450575263155e-07,0.0625,1.0,30.942007047409025
LRA-NPP,Retrain,Fr,5,0.015599999999999992,0.034882660448996704,0.0,0.046799999999999974,0.373900966300059,0.31731050786291415,0.2,0.4472135954999579
LRA-NPP,Retrain,Fs,5,0.013000000000000001,0.05215361924162117,-0.023999999999999976,0.05399999999999999,0.606990647781091,1.0,0.36,0.24926362137539548
LRA-NPP,Retrain,G,5,-4.939952278137207,0.08077560506656008,-4.977286148071289,-4.867170524597168,1.7150875692361875e-08,0.0625,-1.0,-61.15648745765045
LRA-NPP,Retrain,Time,5,-483.6506726741791,65.64489429004517,-544.1502198696137,-448.0576798915863,7.948680032013909e-05,0.0625,-1.0,-7.367681491529541
LRA-NPP,Noise-GN,At,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
LRA-NPP,Noise-GN,Ag,5,0.8785535353535353,0.00989579004146926,0.872359595959596,0.8876848484848484,3.862484463113245e-09,0.0625,1.0,88.78053512371142
LRA-NPP,Noise-GN,Fr,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
LRA-NPP,Noise-GN,Fs,5,-0.010999999999999987,0.05424481542046205,-0.048999999999999974,0.03699999999999999,0.6737423909931876,0.8125,-0.12,-0.20278435671200762
LRA-NPP,Noise-GN,G,5,0.0024130821228027345,0.002008267655344043,0.0009451866149902344,0.004125118255615234,0.05483982439873992,0.125,0.68,1.2015739617084762
LRA-NPP,Noise-GN,Time,5,-0.983649730682373,1.4147950667294926,-2.238594722747803,-0.21806931495666504,0.1950020815193057,0.0625,-0.52,-0.6952595141261161
LRA-NPP,Noise-LN,At,5,-0.0132,0.029516097302997223,-0.0396,0.0,0.373900966300059,0.31731050786291415,-0.2,-0.447213595499958
LRA-NPP,Noise-LN,Ag,5,0.9182424242424242,0.0075550558901382415,0.9121898989898989,0.9245454545454546,1.0997484357234716e-09,0.0625,1.0,121.54012327572897
LRA-NPP,Noise-LN,Fr,5,0.019999999999999997,0.04472135954999579,0.0,0.059999999999999984,0.373900966300059,0.31731050786291415,0.2,0.4472135954999579
LRA-NPP,Noise-LN,Fs,5,-0.041999999999999996,0.048036444497901794,-0.079,-0.006999999999999984,0.12224319199764237,0.125,-0.52,-0.8743361512077468
LRA-NPP,Noise-LN,G,5,0.0017416954040527343,0.003432352590333761,-0.0009896278381347657,0.0044730186462402345,0.3199020857105343,0.4375,0.6,0.5074348739572155
LRA-NPP,Noise-LN,Time,5,-8.462624073028564,3.533767687546913,-11.367614030838013,-5.795673179626465,0.005866300511801067,0.0625,-1.0,-2.394787892495329
