method,At_mean,At_std,Ag_mean,Ag_std,Fr_mean,Fr_std,Fs_mean,Fs_std,G_mean,G_std,Time_mean,Time_std
LRA-NPP,0.015506607929515415,0.008184827603519712,0.9840045121263395,0.00037751157429623884,0.9846,0.0037980258029666094,0.026431718061674013,0.01412785701394239,0.15995216369628906,0.0,0.867189884185791,0.165489131827081
Noise-GN,0.7929515418502202,0.3537612254040171,0.5438465877044557,0.23487404662915326,0.20270000000000002,0.35522802535836046,0.008634361233480159,0.01148166708262757,0.13598060607910156,0.0,0.7862656593322754,0.05001438051078362
Noise-LN,0.7517180616740088,0.3258086165731552,0.33852227862380146,0.10709170306111024,0.24429999999999996,0.3218836358064821,0.009691629955947157,0.009006629207163384,0.13607501983642578,0.0,0.8449294567108154,0.03553231955236688
Retrain,0.0,0.0,0.9874111675126904,0.0008501497430983426,1.0,0.0,0.015330396475770914,0.010505476531958893,0.1748027801513672,0.010741304781595651,28.654228830337523,1.8264753123323718
