method,At_mean,At_std,Ag_mean,Ag_std,Fr_mean,Fr_std,Fs_mean,Fs_std,G_mean,G_std,Time_mean,Time_std
LRA-NPP,0.07185289957567184,0.015151912235929875,0.8612095141700404,0.0,0.6213,0.22258919560481816,0.11025,0.018208857734630195,1.0872111320495605,0.0,3.490924024581909,0.30967646977419494
Retrain,0.0,0.0,0.9038208502024292,0.033006636789427536,0.9675999999999998,0.013772254717365656,0.02200000000000003,0.01751338773624335,8.969982147216797,0.0,157.86882429122926,31.39172043945439
