lhs,rhs,metric,n_runs,mean_diff,std_diff,ci95_low,ci95_high,p_paired_t,p_wilcoxon,cliffs_delta,cohens_dz
LRA-NPP,Retrain,At,5,0.07185289957567184,0.015151912235929875,0.06119754832626121,0.08543140028288543,0.0004476960633665971,0.0625,1.0,4.742167091311839
LRA-NPP,Retrain,Ag,5,-0.04261133603238874,0.03300663678942754,-0.0685981781376519,-0.017813765182186313,0.04470873591387227,0.0625,-1.0,-1.2909929692090805
LRA-NPP,Retrain,Fr,5,-0.3463,0.20936648490147602,-0.5067999999999999,-0.17049999999999998,0.020862070182600504,0.0625,-1.0,-1.6540374175119879
LRA-NPP,Retrain,Fs,5,0.08824999999999997,0.016384062377810947,0.07724999999999999,0.10199999999999995,0.0002724826763503959,0.0625,1.0,5.386332032006761
LRA-NPP,Retrain,G,5,-7.882771015167236,0.0,-7.882771015167236,-7.882771015167236,0.0,0.0625,-1.0,0.0
LRA-NPP,Retrain,Time,5,-154.37790026664734,31.26129748991995,-177.52729930877686,-131.30557494163514,0.0003824013659980846,0.0625,-1.0,-4.938307513193454
